batch_id,proposal_count,entropy_domain_count,accepted_count,accepted_fraction,minimum_accepted_margin
365,262144,262144,59,0.000225067138671875,0.0007004712787830325
366,262144,262144,56,0.000213623046875,5.458408597003306e-05
367,262144,262144,65,0.000247955322265625,0.0003393701215839151
368,262144,262144,59,0.000225067138671875,0.0004602239165718558
369,262144,262144,42,0.00016021728515625,1.2056422735051697e-05
370,262144,262144,55,0.000209808349609375,0.0009280067372523515
371,262144,262144,49,0.000186920166015625,1.2159434794600799e-06
372,262144,262144,60,0.0002288818359375,0.0007693575034803946
373,262144,262144,67,0.000255584716796875,0.00033525632687747553
374,262144,262144,59,0.000225067138671875,0.0002509176282579073
375,262144,262144,61,0.000232696533203125,0.0002984546607209815
376,262144,262144,57,0.000217437744140625,0.0001541359800161235
377,262144,262144,52,0.0001983642578125,7.652029798377313e-05
378,262144,262144,50,0.00019073486328125,0.0009385681950770941
379,262144,262144,55,0.000209808349609375,0.0008440561393405766
380,262144,262144,69,0.000263214111328125,0.0002565544356305516
381,262144,262144,52,0.0001983642578125,0.00034646800701287894
382,262144,262144,65,0.000247955322265625,0.0002690003622207726
383,262144,262144,52,0.0001983642578125,0.0011448019829576328
384,262144,262144,60,0.0002288818359375,5.2648440935332275e-05
385,262144,262144,50,0.00019073486328125,0.0002650926020224542
386,262144,262144,46,0.00017547607421875,0.0004550094036359642
387,262144,262144,57,0.000217437744140625,0.00048239332292610015
388,262144,262144,61,0.000232696533203125,0.0002804699135752209
389,262144,262144,60,0.0002288818359375,0.0001620127867183463
390,262144,262144,60,0.0002288818359375,0.0002398874177045318
391,262144,262144,56,0.000213623046875,0.00046299379222092263
392,262144,262144,54,0.00020599365234375,0.00024225492352480948
393,262144,262144,61,0.000232696533203125,0.0001833009845448874
394,262144,262144,54,0.00020599365234375,9.026746696161325e-05
395,262144,262144,62,0.00023651123046875,0.00041823692156262027
396,262144,262144,54,0.00020599365234375,3.7853678447330452e-06
397,262144,262144,59,0.000225067138671875,7.651942141029267e-05
398,262144,262144,47,0.000179290771484375,0.0007554451387108418
399,262144,262144,59,0.000225067138671875,0.0010463710084651634
400,262144,262144,48,0.00018310546875,0.0005943757620303636
401,262144,262144,41,0.000156402587890625,0.00010856132824610398
402,262144,262144,55,0.000209808349609375,0.00018129749635353853
403,262144,262144,54,0.00020599365234375,0.00022348640085922966
404,262144,262144,63,0.000240325927734375,8.66955363856281e-05
405,262144,262144,49,0.000186920166015625,0.0007795915348904892
406,262144,262144,62,0.00023651123046875,0.0006656245862173282
407,262144,262144,61,0.000232696533203125,0.0002691425058503061
408,262144,262144,63,0.000240325927734375,0.00031924276322681244
409,262144,262144,48,0.00018310546875,0.0011217507754412992
410,262144,262144,42,0.00016021728515625,0.00039835455240133655
411,262144,262144,57,0.000217437744140625,0.0002572224169212767
412,262144,262144,57,0.000217437744140625,0.00026768427614221046
413,262144,262144,54,0.00020599365234375,0.00014676216207565318
414,262144,262144,60,0.0002288818359375,5.948345762329943e-05
415,262144,262144,49,0.000186920166015625,0.00018831213136749625
416,262144,262144,65,0.000247955322265625,2.3044545675254824e-05
417,262144,262144,48,0.00018310546875,5.046218196658181e-05
418,262144,262144,61,0.000232696533203125,0.0001890504290447126
419,262144,262144,37,0.000141143798828125,0.0021296673049007175
420,262144,262144,53,0.000202178955078125,0.0002861522511574677
421,262144,262144,56,0.000213623046875,0.0006239515359343084
422,262144,262144,61,0.000232696533203125,0.0007455309057695647
423,262144,262144,65,0.000247955322265625,0.0005824776799971954
424,262144,262144,46,0.00017547607421875,0.0005825222646635986
425,262144,262144,73,0.000278472900390625,0.00021093598961541282
426,262144,262144,62,0.00023651123046875,5.3543595183169757e-05
427,262144,262144,56,0.000213623046875,0.0007648190491706952
428,262144,262144,55,0.000209808349609375,0.00035134710041173633
429,262144,262144,51,0.000194549560546875,0.0002650678485329738
430,262144,262144,58,0.00022125244140625,0.000909384562131299
431,262144,262144,46,0.00017547607421875,8.270408117394545e-05
432,262144,262144,58,0.00022125244140625,0.000168035359511709
433,262144,262143,54,0.00020599365234375,0.0004183782436535388
434,262144,262144,55,0.000209808349609375,0.0003406715922962267
435,262144,262144,54,0.00020599365234375,0.00015391050520507932
436,262144,262144,58,0.00022125244140625,0.00029975877469445855
437,262144,262144,59,0.000225067138671875,0.0003232847587812948
438,262144,262144,55,0.000209808349609375,0.0001719422903654344
439,262144,262144,66,0.00025177001953125,0.0022635915372228865
440,262144,262144,73,0.000278472900390625,2.3089873450343745e-05
441,262144,262144,59,0.000225067138671875,0.00014175985390374457
442,262144,262144,68,0.0002593994140625,0.00038948785281345266
443,262144,262144,59,0.000225067138671875,0.0008995829384474963
444,262144,262144,62,0.00023651123046875,0.0009384833347492183
445,262144,262144,58,0.00022125244140625,0.0007348493709324888
446,262144,262144,47,0.000179290771484375,0.000127494253781002
